acosh_47:{'codebleu': 0.7089568090664455, 'ngram_match_score': 0.5893190038787325, 'weighted_ngram_match_score': 0.6319115614523504, 'syntax_match_score': 0.8873239436619719, 'dataflow_match_score': 0.7272727272727273}
acosh_73:{'codebleu': 0.7089568090664455, 'ngram_match_score': 0.5893190038787325, 'weighted_ngram_match_score': 0.6319115614523504, 'syntax_match_score': 0.8873239436619719, 'dataflow_match_score': 0.7272727272727273}
cos_41:{'codebleu': 0.7629104342170299, 'ngram_match_score': 0.6714250689401804, 'weighted_ngram_match_score': 0.6964982960907556, 'syntax_match_score': 0.905940594059406, 'dataflow_match_score': 0.7777777777777778}
greater_72:{'codebleu': 0.9804622460166751, 'ngram_match_score': 0.9605131369937513, 'weighted_ngram_match_score': 0.961335847072949, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
cos_11:{'codebleu': 0.877254663662934, 'ngram_match_score': 0.694373128883014, 'weighted_ngram_match_score': 0.9048188260924699, 'syntax_match_score': 0.9606741573033708, 'dataflow_match_score': 0.9491525423728814}
cos_40:{'codebleu': 0.8969080615678858, 'ngram_match_score': 0.772986720502821, 'weighted_ngram_match_score': 0.9048188260924699, 'syntax_match_score': 0.9606741573033708, 'dataflow_match_score': 0.9491525423728814}
acosh_81:{'codebleu': 0.8258209748241849, 'ngram_match_score': 0.7649704493393398, 'weighted_ngram_match_score': 0.7757909837543835, 'syntax_match_score': 0.9267015706806283, 'dataflow_match_score': 0.835820895522388}
greater_68:{'codebleu': 0.6179818793311078, 'ngram_match_score': 0.6471422637884164, 'weighted_ngram_match_score': 0.6820704769037121, 'syntax_match_score': 0.729381443298969, 'dataflow_match_score': 0.41333333333333333}
cos_70:{'codebleu': 1.0, 'ngram_match_score': 1.0, 'weighted_ngram_match_score': 1.0, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
cos_17:{'codebleu': 0.8969080615678858, 'ngram_match_score': 0.772986720502821, 'weighted_ngram_match_score': 0.9048188260924699, 'syntax_match_score': 0.9606741573033708, 'dataflow_match_score': 0.9491525423728814}
greater_32:{'codebleu': 0.7292105480892185, 'ngram_match_score': 0.6235457458156187, 'weighted_ngram_match_score': 0.6547937727444635, 'syntax_match_score': 0.9090909090909091, 'dataflow_match_score': 0.7294117647058823}
greater_64:{'codebleu': 0.9804622460166751, 'ngram_match_score': 0.9605131369937513, 'weighted_ngram_match_score': 0.961335847072949, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
acosh_65:{'codebleu': 1.0, 'ngram_match_score': 1.0, 'weighted_ngram_match_score': 1.0, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
greater_77:{'codebleu': 0.8288647462707962, 'ngram_match_score': 0.5657998964989724, 'weighted_ngram_match_score': 0.8985217621161161, 'syntax_match_score': 0.925764192139738, 'dataflow_match_score': 0.9253731343283582}
greater_1:{'codebleu': 0.6864483045303071, 'ngram_match_score': 0.5579732491881548, 'weighted_ngram_match_score': 0.6043856254987301, 'syntax_match_score': 0.8945454545454545, 'dataflow_match_score': 0.6888888888888889}
acosh_13:{'codebleu': 0.9538261656633554, 'ngram_match_score': 0.9066470140337616, 'weighted_ngram_match_score': 0.9086576486196603, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
cos_45:{'codebleu': 0.7629104342170299, 'ngram_match_score': 0.6714250689401804, 'weighted_ngram_match_score': 0.6964982960907556, 'syntax_match_score': 0.905940594059406, 'dataflow_match_score': 0.7777777777777778}
acosh_31:{'codebleu': 0.9390921010951925, 'ngram_match_score': 0.9023970359154188, 'weighted_ngram_match_score': 0.9048188260924699, 'syntax_match_score': 1.0, 'dataflow_match_score': 0.9491525423728814}
greater_26:{'codebleu': 0.9804622460166751, 'ngram_match_score': 0.9605131369937513, 'weighted_ngram_match_score': 0.961335847072949, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
greater_62:{'codebleu': 0.7738521735967645, 'ngram_match_score': 0.833644351059362, 'weighted_ngram_match_score': 0.8535715454204215, 'syntax_match_score': 0.779874213836478, 'dataflow_match_score': 0.6283185840707964}
greater_10:{'codebleu': 0.8333562562013278, 'ngram_match_score': 0.7787143994326458, 'weighted_ngram_match_score': 0.7858951983754201, 'syntax_match_score': 0.9421487603305785, 'dataflow_match_score': 0.8266666666666667}
greater_18:{'codebleu': 0.9804622460166751, 'ngram_match_score': 0.9605131369937513, 'weighted_ngram_match_score': 0.961335847072949, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
greater_29:{'codebleu': 0.7228776140926586, 'ngram_match_score': 0.7201774711128446, 'weighted_ngram_match_score': 0.7457784784149395, 'syntax_match_score': 0.9447852760736196, 'dataflow_match_score': 0.4807692307692308}
greater_22:{'codebleu': 0.8333562562013278, 'ngram_match_score': 0.7787143994326458, 'weighted_ngram_match_score': 0.7858951983754201, 'syntax_match_score': 0.9421487603305785, 'dataflow_match_score': 0.8266666666666667}
acosh_48:{'codebleu': 0.7629104342170299, 'ngram_match_score': 0.6714250689401804, 'weighted_ngram_match_score': 0.6964982960907556, 'syntax_match_score': 0.905940594059406, 'dataflow_match_score': 0.7777777777777778}
greater_44:{'codebleu': 0.8333562562013278, 'ngram_match_score': 0.7787143994326458, 'weighted_ngram_match_score': 0.7858951983754201, 'syntax_match_score': 0.9421487603305785, 'dataflow_match_score': 0.8266666666666667}
greater_60:{'codebleu': 0.7777758320195562, 'ngram_match_score': 0.6968242611818211, 'weighted_ngram_match_score': 0.714377881125653, 'syntax_match_score': 0.924901185770751, 'dataflow_match_score': 0.775}
acosh_50:{'codebleu': 1.0, 'ngram_match_score': 1.0, 'weighted_ngram_match_score': 1.0, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
cos_76:{'codebleu': 0.8969080615678858, 'ngram_match_score': 0.772986720502821, 'weighted_ngram_match_score': 0.9048188260924699, 'syntax_match_score': 0.9606741573033708, 'dataflow_match_score': 0.9491525423728814}
cos_12:{'codebleu': 0.8510296990028332, 'ngram_match_score': 0.8157787654415058, 'weighted_ngram_match_score': 0.8258175643668109, 'syntax_match_score': 0.9267015706806283, 'dataflow_match_score': 0.835820895522388}
acosh_38:{'codebleu': 0.7629104342170299, 'ngram_match_score': 0.6714250689401804, 'weighted_ngram_match_score': 0.6964982960907556, 'syntax_match_score': 0.905940594059406, 'dataflow_match_score': 0.7777777777777778}
greater_63:{'codebleu': 0.8484087790556022, 'ngram_match_score': 0.6523134312813037, 'weighted_ngram_match_score': 0.8896963405884882, 'syntax_match_score': 0.9049586776859504, 'dataflow_match_score': 0.9466666666666667}
greater_58:{'codebleu': 0.8447414032197531, 'ngram_match_score': 0.6813333823698335, 'weighted_ngram_match_score': 0.8069207680585859, 'syntax_match_score': 0.9407114624505929, 'dataflow_match_score': 0.95}
greater_27:{'codebleu': 0.9829098278164968, 'ngram_match_score': 0.9654512094128447, 'weighted_ngram_match_score': 0.9661881018531427, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
acosh_20:{'codebleu': 0.9830905341194945, 'ngram_match_score': 0.9658617397397254, 'weighted_ngram_match_score': 0.9665003967382527, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
greater_61:{'codebleu': 0.8333562562013278, 'ngram_match_score': 0.7787143994326458, 'weighted_ngram_match_score': 0.7858951983754201, 'syntax_match_score': 0.9421487603305785, 'dataflow_match_score': 0.8266666666666667}
acosh_75:{'codebleu': 1.0, 'ngram_match_score': 1.0, 'weighted_ngram_match_score': 1.0, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
greater_74:{'codebleu': 0.9804622460166751, 'ngram_match_score': 0.9605131369937513, 'weighted_ngram_match_score': 0.961335847072949, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
acosh_34:{'codebleu': 0.8258209748241849, 'ngram_match_score': 0.7649704493393398, 'weighted_ngram_match_score': 0.7757909837543835, 'syntax_match_score': 0.9267015706806283, 'dataflow_match_score': 0.835820895522388}
greater_15:{'codebleu': 0.8738481062094066, 'ngram_match_score': 0.7540707398965208, 'weighted_ngram_match_score': 0.8896963405884882, 'syntax_match_score': 0.9049586776859504, 'dataflow_match_score': 0.9466666666666667}
cos_51:{'codebleu': 0.9518039655019721, 'ngram_match_score': 0.9023970359154188, 'weighted_ngram_match_score': 0.9048188260924699, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
greater_4:{'codebleu': 0.85777427816188, 'ngram_match_score': 0.6979660158101636, 'weighted_ngram_match_score': 0.8424196343867639, 'syntax_match_score': 0.9407114624505929, 'dataflow_match_score': 0.95}
greater_16:{'codebleu': 0.9487300714044544, 'ngram_match_score': 0.8963985235017016, 'weighted_ngram_match_score': 0.8985217621161161, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
acosh_54:{'codebleu': 0.7629104342170299, 'ngram_match_score': 0.6714250689401804, 'weighted_ngram_match_score': 0.6964982960907556, 'syntax_match_score': 0.905940594059406, 'dataflow_match_score': 0.7777777777777778}
greater_28:{'codebleu': 0.9804622460166751, 'ngram_match_score': 0.9605131369937513, 'weighted_ngram_match_score': 0.961335847072949, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
greater_78:{'codebleu': 0.9487300714044544, 'ngram_match_score': 0.8963985235017016, 'weighted_ngram_match_score': 0.8985217621161161, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
acosh_57:{'codebleu': 0.7777856192088627, 'ngram_match_score': 0.701119713362792, 'weighted_ngram_match_score': 0.7263043916354753, 'syntax_match_score': 0.905940594059406, 'dataflow_match_score': 0.7777777777777778}
acosh_9:{'codebleu': 0.7089568090664455, 'ngram_match_score': 0.5893190038787325, 'weighted_ngram_match_score': 0.6319115614523504, 'syntax_match_score': 0.8873239436619719, 'dataflow_match_score': 0.7272727272727273}
acosh_79:{'codebleu': 0.9390921010951925, 'ngram_match_score': 0.9023970359154188, 'weighted_ngram_match_score': 0.9048188260924699, 'syntax_match_score': 1.0, 'dataflow_match_score': 0.9491525423728814}
acosh_14:{'codebleu': 0.7089568090664455, 'ngram_match_score': 0.5893190038787325, 'weighted_ngram_match_score': 0.6319115614523504, 'syntax_match_score': 0.8873239436619719, 'dataflow_match_score': 0.7272727272727273}
cos_52:{'codebleu': 0.8258209748241849, 'ngram_match_score': 0.7649704493393398, 'weighted_ngram_match_score': 0.7757909837543835, 'syntax_match_score': 0.9267015706806283, 'dataflow_match_score': 0.835820895522388}
cos_25:{'codebleu': 0.9518039655019721, 'ngram_match_score': 0.9023970359154188, 'weighted_ngram_match_score': 0.9048188260924699, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
cos_53:{'codebleu': 0.7089568090664455, 'ngram_match_score': 0.5893190038787325, 'weighted_ngram_match_score': 0.6319115614523504, 'syntax_match_score': 0.8873239436619719, 'dataflow_match_score': 0.7272727272727273}
cos_5:{'codebleu': 0.8258209748241849, 'ngram_match_score': 0.7649704493393398, 'weighted_ngram_match_score': 0.7757909837543835, 'syntax_match_score': 0.9267015706806283, 'dataflow_match_score': 0.835820895522388}
greater_67:{'codebleu': 0.9345379316664632, 'ngram_match_score': 0.8963985235017016, 'weighted_ngram_match_score': 0.8985217621161161, 'syntax_match_score': 0.9432314410480349, 'dataflow_match_score': 1.0}
acosh_21:{'codebleu': 0.8258209748241849, 'ngram_match_score': 0.7649704493393398, 'weighted_ngram_match_score': 0.7757909837543835, 'syntax_match_score': 0.9267015706806283, 'dataflow_match_score': 0.835820895522388}
cos_55:{'codebleu': 1.0, 'ngram_match_score': 1.0, 'weighted_ngram_match_score': 1.0, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
greater_39:{'codebleu': 0.7555207248335248, 'ngram_match_score': 0.7486358729137469, 'weighted_ngram_match_score': 0.78771019024942, 'syntax_match_score': 0.9387755102040817, 'dataflow_match_score': 0.5469613259668509}
greater_69:{'codebleu': 0.9804622460166751, 'ngram_match_score': 0.9605131369937513, 'weighted_ngram_match_score': 0.961335847072949, 'syntax_match_score': 1.0, 'dataflow_match_score': 1.0}
acosh_23:{'codebleu': 0.8258209748241849, 'ngram_match_score': 0.7649704493393398, 'weighted_ngram_match_score': 0.7757909837543835, 'syntax_match_score': 0.9267015706806283, 'dataflow_match_score': 0.835820895522388}
